"Code","Medal"
"CAN","Silver"
"CAN","Silver"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Silver"
"CAN","Gold"
"CAN","Bronze"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Bronze"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Bronze"
"CAN","Silver"
"CAN","Silver"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Silver"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Bronze"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
